date,return
2019-07-30,2.6155
2019-07-31,2.6069
2019-08-01,2.5286
2019-08-02,2.4841
2019-08-05,2.4843
2019-08-06,2.4742
2019-08-07,2.4706
2019-08-08,2.4708
2019-08-09,2.4709
2019-08-12,2.4675
2019-08-13,2.4668
2019-08-14,2.4997
2019-08-15,2.4985
2019-08-16,2.4994
2019-08-19,2.4996
2019-08-20,2.4995
2019-08-21,2.4999
2019-08-22,2.5047
2019-08-23,2.4917
2019-08-26,2.5007
2019-08-27,2.4728
2019-08-28,2.5051
2019-08-29,2.5034
2019-08-30,2.5064
2019-09-02,2.6003
2019-09-03,2.6088
2019-09-04,2.6006
2019-09-05,2.5935
2019-09-06,2.5913
2019-09-09,2.591
2019-09-10,2.5959
2019-09-11,2.5905
2019-09-12,2.584
2019-09-16,2.5918
2019-09-17,2.574
2019-09-18,2.5746
2019-09-19,2.5762
2019-09-20,2.5765
2019-09-23,2.5813
2019-09-24,2.5758
2019-09-25,2.5832
2019-09-27,2.567
2019-09-29,2.5553
2019-09-30,2.5502
2019-10-08,2.5492
2019-10-09,2.5411
2019-10-10,2.5508
2019-10-11,2.5474
2019-10-12,2.5509
2019-10-14,2.5517
2019-10-15,2.542
2019-10-16,2.543
2019-10-21,2.5611
2019-10-17,2.5491
2019-10-18,2.545
2019-10-22,2.5715
2019-10-23,2.5719
2019-10-24,2.6053
2019-10-25,2.5885
2019-10-28,2.597
2019-10-29,2.6322
2019-10-30,2.6437
2019-10-31,2.6553
2019-11-01,2.6294
2019-11-04,2.6385
2019-11-05,2.6559
2019-11-06,2.6612
2019-11-07,2.6597
2019-11-08,2.6655
2019-11-11,2.658
2019-11-12,2.6552
2019-11-13,2.6569
2019-11-14,2.6794
2019-11-15,2.6898
2019-11-18,2.6761
2019-11-19,2.6763
2019-11-20,2.6598
2019-11-21,2.6454
2019-11-22,2.6381
2019-11-25,2.6488
2019-11-26,2.6474
2019-11-27,2.6452
2019-11-28,2.6399
2019-11-29,2.6472
2019-12-02,2.6503
2019-12-03,2.6485
2019-12-04,2.6437
2019-12-05,2.6467
2019-12-09,2.6519
2019-12-10,2.6582
2019-12-11,2.6692
2019-12-12,2.6741
2019-12-13,2.6654
2019-12-16,2.6477
2019-12-17,2.6429
2019-12-18,2.6503
2019-12-19,2.6382
2019-12-20,2.6082
2019-12-23,2.5904
2019-12-24,2.5298
2019-12-26,2.4525
2019-12-27,2.3939
2019-12-25,2.4895
