Markettype,date,equal_weighted_return,value_weighted_return
21,Mar-16,-0.117466,-0.096925
15,Feb-16,-0.142479,-0.119498
15,Mar-16,-0.117974,-0.097053
31,Feb-16,-0.148328,-0.12537
31,Mar-16,-0.115754,-0.096835
5,Apr-17,0.018515,0.014718
10,Apr-17,0.009781,0.015342
31,Apr-17,0.019576,0.014853
21,Apr-17,0.019901,0.014851
15,Apr-17,0.018171,0.014721
37,Apr-17,0.018515,0.014718
47,Apr-17,0.018171,0.014721
53,Apr-17,0.019901,0.014851
63,Apr-17,0.019576,0.014853
63,May-17,-0.002674,-0.00532
53,May-17,-0.002529,-0.005298
47,May-17,-0.002449,-0.00537
37,May-17,-0.002261,-0.005347
15,May-17,-0.002449,-0.00537
21,May-17,-0.002529,-0.005298
31,May-17,-0.002674,-0.00532
10,May-17,-0.007069,-0.010201
5,May-17,-0.002261,-0.005347
10,Jun-17,0.010644,0.015379
5,Jun-17,0.032313,0.020967
15,Jun-17,0.031476,0.02094
31,Jun-17,0.032752,0.021201
21,Jun-17,0.033471,0.021226
37,Jun-17,0.032313,0.020967
47,Jun-17,0.031476,0.02094
53,Jun-17,0.033471,0.021226
63,Jun-17,0.032752,0.021201
63,Jul-17,0.001658,0.000369
53,Jul-17,0.001658,0.000326
47,Jul-17,0.001972,0.001231
37,Jul-17,0.001985,0.001188
21,Jul-17,0.001658,0.000326
31,Jul-17,0.001658,0.000369
15,Jul-17,0.001972,0.001231
5,Jul-17,0.001985,0.001188
10,Jul-17,0.001654,0.010112
10,Aug-17,0.012729,0.017134
5,Aug-17,0.027676,0.021601
15,Aug-17,0.027113,0.02158
31,Aug-17,0.031082,0.023155
21,Aug-17,0.031662,0.023181
37,Aug-17,0.027676,0.021601
47,Aug-17,0.027113,0.02158
53,Aug-17,0.031662,0.023181
63,Aug-17,0.031082,0.023155
63,Sep-17,0.000171,-0.005438
53,Sep-17,0.000193,-0.005464
47,Sep-17,-0.00252,-0.006526
37,Sep-17,-0.002598,-0.00656
21,Sep-17,0.000193,-0.005464
31,Sep-17,0.000171,-0.005438
15,Sep-17,-0.00252,-0.006526
5,Sep-17,-0.002598,-0.00656
10,Sep-17,-0.000532,0.000538
10,Oct-17,-0.005629,-0.005369
5,Oct-17,0.005169,0.000246
15,Oct-17,0.004758,0.000219
31,Oct-17,0.007773,0.001912
21,Oct-17,0.0082,0.001944
47,Oct-17,0.004758,0.000219
37,Oct-17,0.005169,0.000246
53,Oct-17,0.0082,0.001944
63,Oct-17,0.007773,0.001912
63,Nov-17,0.012925,0.008754
53,Nov-17,0.013163,0.008756
37,Nov-17,0.011599,0.008181
47,Nov-17,0.011365,0.008181
21,Nov-17,0.013163,0.008756
31,Nov-17,0.012925,0.008754
15,Nov-17,0.011365,0.008181
5,Nov-17,0.011599,0.008181
10,Nov-17,0.005422,0.008313
10,Dec-17,-0.018228,-0.012965
5,Dec-17,0.010602,0.010357
15,Dec-17,0.009513,0.010246
31,Dec-17,0.010738,0.010496
21,Dec-17,0.011656,0.010597
47,Dec-17,0.009513,0.010246
37,Dec-17,0.010602,0.010357
53,Dec-17,0.011656,0.010597
63,Dec-17,0.010738,0.010496
63,2017-13,-0.035182,-0.020945
53,2017-13,-0.03566,-0.020967
37,2017-13,-0.031572,-0.01807
47,2017-13,-0.031138,-0.01806
21,2017-13,-0.03566,-0.020967
31,2017-13,-0.035182,-0.020945
15,2017-13,-0.031138,-0.01806
5,2017-13,-0.031572,-0.01807
10,2017-13,-0.020152,-0.015901
10,2017-14,0.021301,0.020017
5,2017-14,0.026668,0.021939
15,2017-14,0.026465,0.02193
31,2017-14,0.026682,0.022058
21,2017-14,0.026852,0.022067
47,2017-14,0.026465,0.02193
37,2017-14,0.026668,0.021939
53,2017-14,0.026852,0.022067
63,2017-14,0.026682,0.022058
63,2017-15,-0.024426,-0.016046
53,2017-15,-0.024839,-0.016071
37,2017-15,-0.021256,-0.013463
47,2017-15,-0.020881,-0.013448
21,2017-15,-0.024839,-0.016071
31,2017-15,-0.024426,-0.016046
15,2017-15,-0.020881,-0.013448
5,2017-15,-0.021256,-0.013463
10,2017-15,-0.011228,-0.010222
10,2017-16,-0.014518,-0.011499
5,2017-16,-0.047962,-0.026306
15,2017-16,-0.046707,-0.026237
31,2017-16,-0.048393,-0.028138
21,2017-16,-0.049459,-0.028209
47,2017-16,-0.046707,-0.026237
37,2017-16,-0.047962,-0.026306
53,2017-16,-0.049459,-0.028209
63,2017-16,-0.048393,-0.028138
63,2017-17,-0.005273,-0.006098
53,2017-17,-0.004997,-0.006068
37,2017-17,-0.010351,-0.008052
47,2017-17,-0.01049,-0.008076
21,2017-17,-0.004997,-0.006068
31,2017-17,-0.005273,-0.006098
15,2017-17,-0.01049,-0.008076
5,2017-17,-0.010351,-0.008052
10,2017-17,-0.014046,-0.013062
10,2017-18,-0.013166,-0.018938
5,2017-18,-0.01783,-0.017728
15,2017-18,-0.017656,-0.017734
31,2017-18,-0.016431,-0.017534
21,2017-18,-0.016534,-0.017528
47,2017-18,-0.017656,-0.017734
37,2017-18,-0.01783,-0.017728
53,2017-18,-0.016534,-0.017528
63,2017-18,-0.016431,-0.017534
63,2017-19,-0.035929,-0.016106
53,2017-19,-0.036291,-0.016092
37,2017-19,-0.039198,-0.014702
47,2017-19,-0.038642,-0.014724
21,2017-19,-0.036291,-0.016092
31,2017-19,-0.035929,-0.016106
15,2017-19,-0.038642,-0.014724
5,2017-19,-0.039198,-0.014702
10,2017-19,-0.024399,-0.019305
10,2017-20,0.00884,0.011386
5,2017-20,0.021283,0.008827
15,2017-20,0.020816,0.008839
31,2017-20,0.023055,0.010276
21,2017-20,0.023504,0.010271
37,2017-20,0.021283,0.008827
47,2017-20,0.020816,0.008839
53,2017-20,0.023504,0.010271
63,2017-20,0.023055,0.010276
63,2016-24,0.004308,-0.000448
63,2017-21,-0.038934,-0.006308
63,2016-23,0.066719,0.053485
63,2016-25,-0.005204,-0.011755
53,2016-24,0.004491,-0.000452
53,2016-23,0.0674,0.053516
53,2016-25,-0.004821,-0.011719
47,2016-26,-0.004179,-0.005779
53,2016-26,0.000363,-0.003975
47,2016-24,0.003141,-0.000631
47,2016-25,-0.006383,-0.011796
53,2017-21,-0.03938,-0.006285
37,2016-24,0.003314,-0.000637
37,2016-23,0.062064,0.049994
37,2017-21,-0.036355,-0.002438
37,2016-25,-0.005969,-0.011756
37,2016-26,-0.004374,-0.005789
47,2016-23,0.061461,0.049978
47,2017-21,-0.035919,-0.002482
21,2017-21,-0.03938,-0.006285
31,2017-21,-0.038934,-0.006308
15,2017-21,-0.035919,-0.002482
5,2017-21,-0.036355,-0.002438
10,2017-21,-0.024705,-0.011684
31,2016-23,0.066719,0.053485
31,2016-24,0.004308,-0.000448
31,2016-25,-0.005204,-0.011755
31,2016-26,0.000369,-0.003975
21,2016-23,0.0674,0.053516
21,2016-24,0.004491,-0.000452
21,2016-25,-0.004821,-0.011719
21,2016-26,0.000363,-0.003975
15,2016-23,0.061461,0.049978
15,2016-24,0.003141,-0.000631
15,2016-25,-0.006383,-0.011796
15,2016-26,-0.004179,-0.005779
5,2016-23,0.062064,0.049994
5,2016-24,0.003314,-0.000637
5,2016-25,-0.005969,-0.011756
5,2016-26,-0.004374,-0.005789
63,2016-26,0.000369,-0.003975
5,2016-38,-0.025712,-0.02612
5,2016-39,0.020646,0.01386
5,2016-40,-0.00678,-0.007896
5,2016-42,0.032584,0.022708
5,2016-43,0.008678,0.007815
5,2016-44,0.004627,0.003321
5,2016-45,0.016344,0.008305
10,2017-22,-0.012177,-0.011417
21,2016-38,-0.025988,-0.026434
21,2016-39,0.020559,0.013383
21,2016-40,-0.006364,-0.008032
31,2016-38,-0.025463,-0.026366
31,2016-39,0.020088,0.013366
31,2016-40,-0.006193,-0.007981
15,2016-38,-0.025089,-0.026046
15,2016-39,0.020072,0.013839
15,2016-40,-0.006557,-0.007841
15,2016-42,0.031494,0.022616
15,2016-43,0.006748,0.007563
15,2016-44,0.004856,0.003366
15,2016-45,0.015799,0.008273
5,2017-22,-0.017039,-0.004494
15,2017-22,-0.016859,-0.004527
31,2017-22,-0.018925,-0.006049
21,2017-22,-0.019136,-0.006026
47,2016-38,-0.025089,-0.026046
47,2016-39,0.020072,0.013839
47,2017-22,-0.016859,-0.004527
37,2016-39,0.020646,0.01386
37,2016-38,-0.025712,-0.02612
37,2017-22,-0.017039,-0.004494
53,2017-22,-0.019136,-0.006026
53,2016-39,0.020559,0.013383
63,2016-39,0.020088,0.013366
53,2016-38,-0.025988,-0.026434
63,2016-38,-0.025463,-0.026366
63,2017-22,-0.018925,-0.006049
63,2017-23,0.0427,0.028555
53,2017-23,0.043058,0.028554
37,2017-23,0.041421,0.027302
47,2017-23,0.041041,0.027309
21,2017-23,0.043058,0.028554
31,2017-23,0.0427,0.028555
15,2017-23,0.041041,0.027309
5,2017-23,0.041421,0.027302
10,2017-23,0.031177,0.028833
10,2017-24,0.004193,0.002397
5,2017-24,0.010131,-0.004397
15,2017-24,0.009914,-0.004366
31,2017-24,0.011261,-0.002824
21,2017-24,0.011477,-0.002846
47,2017-24,0.009914,-0.004366
37,2017-24,0.010131,-0.004397
53,2017-24,0.011477,-0.002846
63,2017-24,0.011261,-0.002824
63,2017-25,-0.008574,0.008668
53,2017-25,-0.008953,0.008687
47,2017-25,-0.006299,0.010877
37,2017-25,-0.006684,0.010908
21,2017-25,-0.008953,0.008687
31,2017-25,-0.008574,0.008668
15,2017-25,-0.006299,0.010877
5,2017-25,-0.006684,0.010908
10,2017-25,0.003768,0.00432
10,2017-26,0.01455,0.016759
5,2017-26,0.018026,0.014294
15,2017-26,0.017901,0.014305
31,2017-26,0.01645,0.013785
21,2017-26,0.016508,0.013773
47,2017-26,0.017901,0.014305
37,2017-26,0.018026,0.014294
53,2017-26,0.016508,0.013773
63,2017-26,0.01645,0.013785
63,2017-27,0.025525,0.010872
53,2017-27,0.025977,0.010863
37,2017-27,0.023654,0.009466
47,2017-27,0.023181,0.009483
15,2017-27,0.023181,0.009483
31,2017-27,0.025525,0.010872
5,2017-27,0.023654,0.009466
21,2017-27,0.025977,0.010863
10,2017-27,0.010771,0.013192
10,2017-28,0.000157,0.0026
21,2017-28,-0.027401,-0.002973
5,2017-28,-0.020637,0.002221
31,2017-28,-0.026585,-0.00295
15,2017-28,-0.019875,0.002223
37,2017-28,-0.020637,0.002221
53,2017-28,-0.027401,-0.002973
47,2017-28,-0.019875,0.002223
63,2017-28,-0.026585,-0.00295
63,2017-29,-0.03067,-0.004314
53,2017-29,-0.031422,-0.004344
47,2017-29,-0.021142,0.000251
37,2017-29,-0.021718,0.000239
15,2017-29,-0.021142,0.000251
31,2017-29,-0.03067,-0.004314
5,2017-29,-0.021718,0.000239
21,2017-29,-0.031422,-0.004344
10,2017-29,-0.005993,0.002946
10,2017-30,0.015556,0.011586
21,2017-30,0.020866,0.009019
5,2017-30,0.016296,0.006612
31,2017-30,0.020709,0.00903
15,2017-30,0.016269,0.006635
37,2017-30,0.016296,0.006612
47,2017-30,0.016269,0.006635
53,2017-30,0.020866,0.009019
63,2017-30,0.020709,0.00903
63,2017-31,-0.000356,-0.000226
53,2017-31,-0.000443,-0.000219
47,2017-31,0.001111,0.000455
37,2017-31,0.001057,0.000465
15,2017-31,0.001111,0.000455
31,2017-31,-0.000356,-0.000226
5,2017-31,0.001057,0.000465
21,2017-31,-0.000443,-0.000219
10,2017-31,0.002548,-0.001888
10,2017-32,-0.009997,-0.009427
21,2017-32,-0.010599,-0.013693
5,2017-32,-0.013319,-0.015456
31,2017-32,-0.010581,-0.013675
15,2017-32,-0.0132,-0.015428
37,2017-32,-0.013319,-0.015456
47,2017-32,-0.0132,-0.015428
53,2017-32,-0.010599,-0.013693
63,2017-32,-0.010581,-0.013675
63,2017-33,0.037874,0.026118
53,2017-33,0.038549,0.026167
47,2017-33,0.033479,0.023837
37,2017-33,0.034157,0.023881
15,2017-33,0.033479,0.023837
31,2017-33,0.037874,0.026118
5,2017-33,0.034157,0.023881
21,2017-33,0.038549,0.026167
10,2017-33,0.015588,0.014191
10,2017-34,-0.012155,-0.006531
21,2017-34,0.009054,0.014257
5,2017-34,0.00732,0.01503
31,2017-34,0.008408,0.014169
15,2017-34,0.006583,0.01493
37,2017-34,0.00732,0.01503
47,2017-34,0.006583,0.01493
53,2017-34,0.009054,0.014257
63,2017-34,0.008408,0.014169
63,2017-35,0.032124,0.017725
53,2017-35,0.032938,0.017746
47,2017-35,0.028369,0.015575
37,2017-35,0.029242,0.015588
15,2017-35,0.028369,0.015575
31,2017-35,0.032124,0.017725
5,2017-35,0.029242,0.015588
21,2017-35,0.032938,0.017746
10,2017-35,0.005841,0.01256
10,2017-36,0.024239,0.032861
